McClure Michael,Plum Stones: Cartoons Of No Heaven,4,,
McClure Michael,Poisoned Wheat,5,,
McClure Michael,Rain Mirror: New Poems,10,,
McClure Michael,Rare Angel,4,,
McClure Michael,Rebel Lions,3,,
McClure Michael,Scratching the Beat Surface,10,,
McClure Michael,Scratching the Beat Surface,8,,
McClure Michael,Selected Poems,2,,
McClure Michael,September Blackberries,7,,
McClure Michael,Star,5,,
McClure Michael,Touching the Edge: Dharma Devotions from the Hummingbird Sangha,10,,
McCook Kendall Clay,Jack Kerouac - A Social Reaction,9,,
McDarrah Fred W.,Kerouac & Friends: A Beat Generation Album,6,,
McDarrah Fred W. & Gloria S.,Beat Generation: Glory Days in Greenwich Village,10,,
McFarland Gerald W.,Inside Greenwich Village: A New York Neighborhood 1898-1918,2,,
McKee Jenn,Jack Kerouac,3,,
McNally Dennis,Desolate Angel: Jack Kerouac the Beat Generation and America,7,,
McNeil Katherine comp.,Gary Snyder: A Bibliography,4,,
McNeill Malcolm,Observed While Falling: Bill Burroughs Ah Pook And Me,6,,
McRaniels Daniel,Into The Fold: The Folded Narratives Of Henry Miller Djuna Barnes William S. Burroughs And J.G. Ballard   ,10,,
Marten Harry,Understanding Denise Levertov,3,,
Martin Jay,Always Merry and Bright: Life of Henry Miller,8,,
Martin Justin,Rebel Souls: Walt Whitman And Americas First Bohemians,5,,
Meisler Stanley,Shocking Paris: Soutine CHagall And The Outsiders Of Montparnasse,3,,
Meltzer David,Beat Thing,8,,
Meltzer David editor,Birth: An Anthology Of Ancient Texts Songs Prayers And Stories,5,,
Meltzer David,Blue Rags,5,,
Meltzer David,Davids Copy,3,,
Meltzer David,Hero/Lil,8,,
Meltzer David,Isla Vista ,2,,
Meltzer David,Name: Selected Poetry 1973-1983,9,,
Meltzer David,No Eyes: Lester Young,9,,
Meltzer David editor,San Francisco Beat: Talking With The Poets,4,,
Meltzer David,Tens Selected Poems 1961-1971,6,,
Meltzer David,Two-Way Mirror: A Poetry Notebook,7,,
Meltzer David,When I Was A Poet,6,,
Meltzer David editor,Writing Jazz,2,,
Merrill Thomas F.,Allen Ginsberg,10,,
Micheline Jack,Sixty-Seven Poems for Towntrodden Saints,2,,
Miles Barry ed,Beat Collection,1,,
Miles Barry,Beat Hotel: Ginsberg Burroughs and Corso in Paris 1957-1963,9,,
Miles Barry,Call Me Burroughs: A Life,2,,
Miles Barry,Charles Bukowski,3,,
Miles Barry,Ginsberg: A Biography,4,,
Miles Barry,Ginsberg: A Biography,6,,
Miles Barry,Jack Kerouac: King of the Beats: A Portrait,3,,
Miles Barry,London Calling: A Countercultural History Of London Since 1945,9,,
Miles Barry,William Burroughs: El Hombre Invisible,9,,
Milewski Robert J.,Jack Kerouac: An Annotated Bibliography,2,,
Miller Henry,Air-Conditioned Nightmare (Volume 1),6,,
Miller Henry,Air-Conditioned Nightmare,1,,
Miller Henry,Aller Retour New York,10,,
Miller Henry,Amazing And Invariable Beauford DeLaney,8,,
Miller Henry,Big Sur and the Oranges of Hieronymus Bosch,8,,
Miller Henry,Black Spring,4,,
Miller Henry,Books in My Life,2,,
Miller Henry,Book of Friends,4,,
Miller Henry,Collectors Quest: The Correspondence Of Henry Miller And J. Rives Childs 1947-1965,7,,
Miller Henry,Colossus of Maroussi,6,,
Miller Henry,Complete Book of Friends,8,,
Miller Henry,Conversations with Henry Miller,7,,
Miller Henry,Cosmological Eye,7,,
Miller Henry,Crazy Cock,7,,
Miller Henry,Dear Dear Brenda,3,,
Miller Henry,Devil in Paradise,5,,
Miller Henry,Folio I and Folio II,8,,
Miller Henry,From Your Capricorn Friend: Henry Miller & the Stroker 1978-1980,8,,
Miller Henry,Greece,10,,
Miller Henry,Henry Miller and James Laughlin: Selected Letters,3,,
Miller Henry,Henry Miller on Writing,10,,
Miller Henry,Henry Miller: Stories Essays Travel Sketches,4,,
Miller Henry,Henry Miller Reader,3,,
Miller Henry,Henry Miller: Years of Trial and Triumph 1962-1964,4,,
Miller Henry,Henry Millers People,8,,
Miller Henry,In Conversation with Georges Belmont,10,,
Miller Henry,Insomnia or The Devil At Large,10,,
Miller Henry,Joey (Volume III Book of Friends),8,,
Miller Henry,Just Wild About Harry,5,,
Miller Henry,Letters by Henry Miller to Hoki Tokuda Miller,4,,
Miller Henry,Letters Of Henry Miller And Wallace Fowlie,1,,
Miller Henry,Letters to Emil,1,,
Miller Henry,Max and the White Phagocytes,5,,
Miller Henry,Moloch or This Gentile World,5,,
Miller Henry,My Bike & Other Friends (Volume II Book of Friends),3,,
Miller Henry,My Life and Times,3,,
Miller Henry,Nexus Rosy Crucifixion III,7,,
Miller Henry,Notes on Aarons Rod and other notes on Lawrence from the Paris notebooks,3,,
Miller Henry,Nothing But The Marvelous: Wisdoms Of Henry Miller,8,,
Miller Henry,On turning eighty , Journey to an antique land , foreword to The angel is my watermark,3
Miller Henry,Opus Pistorum,5,,
Miller Henry,Order and chaos chez Hans Reichel,3,,
Miller Henry,Plexus,5,,
Miller Henry,Plexus Rosy Crucifixion II,4,,
Miller Henry,Quiet Days in Clichy,6,,
Miller Henry,Rosy Crucifixion Book One Sexus V 4 & 5,10,,
Miller Henry,Reflections On The Death Of Mishima,9,,
Miller Henry,Remember To Remember: Vol 2 Of The Air-Conditioned Nightmare,2,,
Miller Henry,Sextet,7,,
Miller Henry,Sexus The Rosy Crucifixion Book I,4,,
Miller Henry,Sexus The Rosy Crucifixion I,9,,
Miller Henry,Smile at the Foot of the Ladder,3,,
Miller Henry,Stand Still Like the Hummingbird,5,,
Miller Henry,Sunday After The War,9,,
Miller Henry,Time of the Assassin: A Study Of Rimbaud,6,,
Miller Henry,To Paint Is To Love Again,3,,
Miller Henry,Tropic of Cancer,2,,
Miller Henry,Tropic of Cancer,9,,
Miller Henry,Tropic of Cancer,10,,
Miller Henry,Tropic of Capricorn,5,,
Miller Henry,Tropic of Capricorn,10,,
Miller Henry,Tropic of Capricorn,6,,
Miller Henry,Under the Roofs of Paris,7,,
Miller Henry,Wisdom of the Heart,1,,
Miller Henry,World of Lawrence : a passionate appreciation,7,,
Miller Henry,World of Sex,6,,
Miller Joaquin,Selections from Joaquin Miller,7,,
Miller John ed.l,White Rabbit: A Psychedelic Reader,9,,
Miller Richard,Bohemia: The Protoculture Then and Now,7,,
Miller Terry,Greenwich Village And How It Got That Way,9,,
Mitchell Edward B. editor,Henry Miller: Three Decades Of Criticism,8,,
Molesworth Charles,Gary Snyders Vision: Poetry and the Real Work,4,,
Montgomery John,Jack Kerouac: A Memoir In Which Is Revealed Secret Lives & West Coast Whispers Being The Confessions Of Henry Morley Alex Fairbrother & John Montgomery Triune Madman of The Dharma Bums Desolation Angels & Other Trips,3,,
Montgomery John  comp,Kerouac at the Wild Boar & Other Skirmishes,9,,
Montgomery John  comp,Kerouac we knew : unposed portraits, action shots,7,
Montgomery John,Kerouac West Coast: A Bohemian Pilot Detailed Navigation Instructions,9,,
Morgan Bill,Beat Atlas: A State By State Guide To The Beat Generation In America,3,,
Morgan Bill,Beat Generation in New York: A Walking Tour of Jack Kerouacs City,3,,
Morgan Bill,Beat Generation in New York: A Walking Tour of Jack Kerouacs City,8,,
Morgan Bill,Beats Abroad: A Global Guide To The Beat Generation,7,,
Morgan Bill editors,Best Minds: A Tribute to Allen Ginsberg,1,,
Morgan Bill editors,Howl on Trial : The Battle for Free Expression,8,,
Morgan Bill,I Celebrate Myself : The Somewhat Private Life of Allen Ginsberg,10,,
Morgan Bill,Response to Allen Ginsberg 1926-1994 : A Bibliography of Secondary Sources,3,,
Morgan Bill,Typewriter Is Holy : The Complete Uncensored History of the Beat Generation,5,,
Morgan Bill,Works of Allen Ginsberg 1941-1994 , A Descriptive Bibliography,3,
Morgan Ted,Literary Outlaw: Life & Times of William S. Burroughs,7,,
Morley Christopher,Seacoast of Bohemia,2,,
Morris Wright,Huge Season,2,,
Morrow W. C.,Bohemian Paris To-day,7,,
Moscheles Felix,In Bohemia with Du Maurier,8,,
Moscheles Felix,In Bohemia with Du Maurier,10,,
Moss Arthur & Marvel Evalyn,Legend of the Latin Quarter: Henry Murger and the Birth of Bohemia,2,,
Murger Henri,La Boheme: Scenes de la vie de Boheme,9,,
Murger Henri,Bohemians of the Latin Quarter,6,,
Murger Henri,Latin quarter: Scenes de la vie de Boheme translated by Elizabeth Ward Hugus,2,,
Murphy Patrick D.,Understanding Gary Snyder,4,,
Myrsiades Kostas editor,Beat Generation: Critical Essays,2,,
Nalbantian Suzanne ed.,Anaïs Nin: Literary Perspectives,2,,
Nelson Jane A.,Form and Image in the Fiction of Henry Miller,4,,
Nelson Kenneth J.,Mythic Elements Of On The Road,3,,
Nelson Raymond,Kenneth Patchen and American Mysticism,1,,
Nevill Ralph,Days And Nights In Montmartre & The Latin Quarter,7,,
Newhouse Thomas,Beat Generation And The Popular Novel In The United States 1945-1970,3,,
Nicholson Virginia,Among the Bohemians: Experiments in Living 1900-1939,2,,
Nicosia Gerald,Memory Babe: Critical Bio of Kerouac,9,,
Nicosia Gerald,One And Only: The Untold Story Of On The Road And Lu Anne Henderson The Woman Who Started Jack Kerouac And Neal        Cassady On Their Journey,4,,
Nicosia Gerald,One And Only: The Untold Story Of On The Road And Lu Anne Henderson The Woman Who Started Jack Kerouac And Neal Cassady On Their Journey,7,,
Niemi Robert,Ultimate Illustrated Beats Chronology,5,,
Nin Anaïs,Children Of The Albatross,2,,
Nin Anaïs,Cities of the Interior,8,,
Nin Anaïs,Conversations with Anaïs Nin,5,,
Nin Anaïs,D.H. Lawrence: An Unprofessional Study,3,,
Nin Anaïs,Delta of Venus,8,,
Nin Anaïs,Diary of Anaïs Nin Vol 1 1931-1934,1,,
Nin Anaïs,Diary of Anaïs Nin Volume 2 1934-1939,4,,
Nin Anaïs,Diary of Anaïs Nin Vol 3 1939-1944,10,,
Nin Anaïs,Diary of Anaïs Nin Vol 4 1944-1947,7,,
Nin Anaïs,Diary of Anaïs Nin Vol 5 1947-1955,5,,
Nin Anaïs,Diary of Anaïs Nin Volume 6 1955-1966,9,,
Nin Anaïs,Diary of Anaïs Nin Volume 7 1966-1974,10,,
Nin Anaïs,Four-Chambered Heart,6,,
Nin Anaïs,Henry & June,1,,
Nin Anaïs,Incest,7,,
Nin Anaïs,In Favor of the Sensitive Man and other essays,2,,
Nin Anaïs,Journals of Anaïs Nin Vol 2 1934-1939,6,,
Nin Anaïs,Journals of Anais Nin Vol 4 1944-1947,9,,
Nin Anaïs,Journals of Anais Nin Vol 5 1947-1955,1,,
Nin Anaïs,Journals of Anais Nin Vol 7 1966-1974,2,,
Nin Anaïs and Miller Henry,Literate Passion: Letters of Anais Nin and Henry Miller 1932-1953,7,,
Nin Anaïs and Miller Henry,Literate Passion: Letters of Anais Nin and Henry Miller 1932-1953,9,,
Nin Anaïs,Little Birds : Erotica,10,,
Nin Anaïs,Linotte: Early Diary of Anias Nin 1914-1920,1,,
Nin Anaïs,Nearer The Moon: From A Journal Of Love,6,,
Nin Anaïs,Novel Of The Future,8,,
Nin Anaïs,On Writing,9,,
Nin Anaïs,Photographic Supplement to the Diary of Anais Nin,3,,
Nin Anaïs,Seduction of the Minotaur,9,,
Nin Anaïs,Spy In The House Of Love,7,,
Nin Anaïs,Under A Glass Bell And Other Stories,9,,
Nin Anaïs,Waste Of Timelessness And Other Early Stories,10,,
Nin Anaïs,Winter of Artifice,4,,
Nin Anaïs,A Woman Speaks: The Lectures Seminars And Interviews Of Anais Nin,6,,
Norris Frank,McTeague,9,,
Norse Harold,Carnivorous Saint: Gay Poems 1941-1976,9,,
Norse Harold,In the Hub of the Fiery Force: Collected Poems 1934-2003,9,,
Norse Harold,Love Poems: 1940-1985,6,,
Norse Harold,Memoirs of a Bastard Angel,2,,
Nunan Thomas,Diary of an Old Bohemian,4,,
Nutting Cherie,Yesterdays Perfume: An Intimate Memoir Of Paul Bowles,5,,
OBrien Glenn editor,Cool School: Writing From Americas Hip Underground,1,,
Ogar Richard ed.,The Poets Eye: A Tribute To Lawrence Ferlinghetti And City Lights Books,6,,
OHara Frank,Lunch Poems,2,,
OHara Frank,Standing Still and Walking in New York,8,,
ONeil Paul,Beats Mount the Only Rebellion Around...,7,,
ONeil William L.,Last Romantic: A Life of Max Eastman,9,,
Oliver Stephen Blake,Backwards Saints: The Jazz Musician As Hero-Figure In James Baldwins Sonnys Blues And John Clellon Holmes The Horn,10,,
Olson Kirby,Cregory Corso : Doubting Thomist,3,,
Omarr Sydney,Henry Miller: His World Of Urania,9,,
Orion Pictures,Heart Beat,1,,
Orion Pictures,Heart Beat,4,,
Orlovsky Peter,Peter Orlovsky: A Life In Words: Intimate Chronicle Of A Beat Writer,4,,
Ormond Leonée,George du Maurier,1,,
Oscilloscope Pictures,Howl,3,,
Oscilloscope Laboratories,William S. Burroughs: A Man Within,3,,
Pacific Book Auction Galleries,Beat Literature Library of Stephen Ronan & the Charles Bukowski Collection of Thomas Groff,5,,
Pacific Book Auction Galleries,Beats Counterculture & The Avant Garde The Ricjard Synchef Collection,6,,
Pacific Book Auction Galleries,Charles Bukowski And His Circle: The Collection Of Ross Runfola,8,,
Pacific Book Auction Galleries,Edwin Blair Collection of Beat Literature,3,,
Parkinson Thomas ed.,Casebook on the Beat,9,,
Parry Albert,Garrets and Pretenders: A History of Bohemianism in America,2,,
Patchen Kenneth,Aflame And Afun Of Walking Faces: Fables And Drawings,3,,
Patchen Kenneth,Because It Is: Poems And Drawings By Kenneth Patchen,8,,
Patchen Kenneth,Before the Brave,6,,
Patchen Kenneth,Doubleheader,5,,
Patchen Kenneth,Fables and Other Little Tales,5,,
Patchen Kenneth,Memoirs Of A Shy Pornographer,10,,
Patchen Kenneth,Patchens Lost Plays,6,,
Patchen Kenneth,Pictures of Life and of Death,8,,
Patchen Kenneth,Selected Poems,5,,
Patchen Kenneth,Theres Love All Day: Poems By Californias Kenneth Patchen,3,,
Patchen Kenneth,They Keep Riding Down All the Time,5,,
Patchen Kenneth,We Meet,3,,
Paton Fiona A.,Style And Subversion: Kerouac And The Cultural Cold War,8,,
Pearson Neil,Obelisk : A History of Jack Kahane and the Obelisk Press,4,,
Pekar Harvey,Beats : a graphic history,8,,
Perles Alfred,Art & Outrage: A Correspondence About Henry Miller,3,,
Perles Alfred,My Friend Henry Miller,4,,
Perrin Guillermo and Miguel de Palacios,Bohemios (Spanish Libretto),5,,
Perry Charles,Haight-Ashbury: A History,6,,
Perry Paul,On the Bus,5,,
Pfeiffer Ingrid ed.,Esprit Montmartre: Bohemian Life In Paris Around 1900,6,,
Phillips Lisa,Beat Culture and the New America: 1950-1965,3,,
Phillips Rod,Forest Beatniks and Urban Thoreaus : Gary Snyder Jack Kerouac Lew Welch and Michael McClure,1,,
Pickett Rebecca A.,Gary Snyder And The Mythological Present,6,,
Pirsig Robert M.,Lila,1,,
Pirsig Robert M.,Zen and the Art of Motorcycle Maintenance,2,,
Pirsig Robert M.,Zen and the Art of Motorcycle Maintenance,4,,
Pirtle Charles Eric,These States: Ginsbergs Chronicle Of History,8,,
Pisano Claudia Moreno editor,Amiri Baraka & Edward Dorn: The Collected Letters,5,,
Pivano Fernanda,Beat & pieces : a complete story of the Beat Generation,7,,
Pizer Donald,American Expatriate Writing and the Paris Moment,1,,
Plimpton George ed.,Paris Review Interviews: Beat Writers At Work,2,,
Plummer William,Holy Goof: Biography of Neal Cassady,1,,
Plummer William,Holy Goof: Biography of Neal Cassady,3,,
Podhoretz Norman,Ex-Friends: Falling Out With Allen Ginsberg Lionel And Diana Trilling Lillian Hellman Hannah Arendt And Norman Mailer,2,,
Polimeni Carlos,Bukowski For Beginners,2,,
Polish Michael,Big Sur,5,,
Polsky Ned,Hustlers Beats and Others,3,,
Powers Ann,Wierd Like Us: My Bohemian America,4,,
Puccini Giacomo,La Bohème,9,,
Rader Craig R.,Structure Of Sound: An Analysis Of William Carlos Williams Influence Upon The Poetry Of Allen Ginsberg And Robert Creeley,8,,
Raitt A.W.,Life & Letters in France the 19th century,1,,
Ransome Arthur,Bohemia in London,1,,
Raskin Jonah,American Scream: Allen Ginsbergs Howl and the Making of the Beat Generation,10,,
Reage Pauline,Story of O,9,,
Reilly Charlie editor,Conversations with Amiri Baraka,4,,
Rexroth Kenneth,An Autobiographical Novel,5,,
Rexroth Kenneth,Beyond The Mountains,5,,
Rexroth Kenneth,Burning Heart: Women Poets Of Japan,2,,
Rexroth Kenneth,Classics Revisited,2,,
Rexroth Kenneth,Collected Longer Poems of Kenneth Rexroth,9,,
Rexroth Kenneth,Collected Shorter Poems of Kenneth Rexroth,10,,
Rexroth Kenneth,Complete Poems Of Kenneth Rexroth,2,,
Rexroth Kenneth,Dragon And The Unicorn,8,,
Rexroth Kenneth,One Hundred More Poems From The Chinese Love And The Turning Year,8,,
Rexroth Kenneth & Lawrence Ferlinghetti,Poetry Readings In The Cellar,5,,
Rexroth Kenneth,Selected Poems,3,,
Rexroth Kenneth trans & editor,Women Poets Of Japan,6,,
Rexroth Kenneth trans & editor,Women Poets Of China,10,,
Rexroth Kenneth,With Eye & Ear,1,,
Richardson Joanna,Bohemians, La vie de Boheme in Paris 1830-1914,9,
Richardson Mark,Zen and Now : on the trail of Robert Pirsig and the art of motorcycle maintenance,2,,
Richmond Steve,Spinning Off Bukowski,9,,
Richtersmith Aldous H.,Myth-Making Miller: The Whole Man Aesthetic In Henry Millers Narrative,4,,
Rigney Francis J.,Real Bohemia,8,,
Roe Sue,In Montmartre: Picasso Matisse And The Birth Of Modernist Art,4,,
Rombes Nicholas,Cultural Dictionary Of Punk: 1974-1982,3,,
Rosenthal Chuck,Jack Kerouacs Avatar Angel : His Last Novel,1,,
Rosenthal Irving,Sheeper: The Poet! The Crooked! The Extra-Fingered!,3,,
Rosset Barney ed.,Evergreen Review Reader: a ten year anthology,5,,
Rotolo Suze,Freewheelin Time: A Memoir Of Greenwich Village In The Sixties,1,,
Roudy Peter E.,Recurring Motifs In Three Novels By Jack Kerouac,9,,
Rudnick Lois Palken editor,Intimate Memories: The Autobiography Of Mabel Dodge Luha,4,,
Rudnick Lois Palken,Mabel Dodge Luhan: New Woman New Worlds,9,,
Rudnick Lois Palken,Suppressed Memoirs Of Mabel Dodge Luhan: Sex Syphilis And Psychoanalysis In The Making Of Modern American Culture,10,,
Rumaker Michael,Robert Duncan in San Francisco,2,,
Rupert John,Notations Of Process Of Mind In American Poetry Since 1945: Readings In Creeley Whalen Kerouac And Ginsberg,6,,
Russell Jamie,Queer Burroughs,9,,
Salles Walter,On The Road,1,,
Sanders Edward,America: A History In Verse Volume 1 1900-1939,5,,
Sanders Edward,America: A History In Verse Volume 2 1940-1961,2,,
Sanders Edward,America: A History In Verse Volume 3 1962-1970,9,,
Sanders Edward,Book Of Glyphs,9,,
Sanders Ed,Fame & Love In New York,1,,
Sanders Ed,Fug You: An Informal History Of The Peace Eye Bookstore the Fuck You Press The Fugs And Counterculture In The Lower East Side,8,,
Sanders Edward,Hymn To The Rebel Cafe,8,,
Pubisher: Black Sparrow Press,NULL,2,,
Sanders Edward,1968: A History Of Verse,5,,
Sanders Ed,Tales of Beatnik Glory,9,,
Sanders Edward,Poetry and Life of Allen Ginsburg: A Narrative Poem,7,,
Sandison David,Jack Kerouac: An Illustrated Biography,8,,
Sandison David,Neal Cassady : The Fast Life of a Beat Hero,10,,
Sante Luc,The Other Paris,6,,
Sargent Jack,Naked Lens: An Illustrated History of Beat Cinema,3,,
Saroyan Aram,Genesis Angels: The Saga of Lew Welch And the Beat Generation,9,,
Sawyer-Laucanno Christopher,Invisible Spectator: Biogrpahy of Paul Bowles,6,,
Schober Rick editor,Whole Shot: Collected Interviews With Gregory Corso,10,,
Schroeder Barbet,Charles Bukowski Tapes,6,,
Schumacher Michael,Dharma Lion: A Biography of Allen Ginsberg,7,,
Screen Edge,Bukowski At Bellevue 1970,9,,
Seigel Jerrold,Bohemian Paris: Culture Politics and the Boundaries of Bourgeois Life 1830-1930,3,,
Selby Hubert Jr.,Last Exit To Brooklyn,7,,
Serrano Janet,Gregory Corsos Bomb: A Response To Nuclear Anxiety,7,,
Service Robert W.,Ballads of a Bohemian,4,,
Shaffer Eric Paul,All Come To This: The Life And Works Of Lew Welch In The Context Of The Twentieth Century,5,,
Sherlock John compiler,Gary Snyder: A Bibliography Of Works By And About Gary Snyder,5,,
Shifreen Lawrence J. ed.,Henry Miller : A Bibliography of Primary Sources,6,,
Shifreen Lawrence J. ed.,Henry Miller: A Bibliography Of Secondary Sources,1,,
Shinder Jason editor,Poem that Changed America : Howl Fifty Years Later,8,,
Shoaf Eric C,William S. Burroughs: A Collectors Guide,3,,
Silesky Barry,Ferlinghetti the artist in his time,9,,
Simpson Louis,Revolution In Taste: Studies Of... Allen Ginsberg...,9,,
Silverberg Ira editor,Everything Is Permitted: The Making Of Naked Lunch,7,,
Sinclair Iain,American Smoke: Journeys To The End Of The Light,1,,
Sirius R.U.,21st Century Revolutionary: R.U. Sirius 1984-1998,10,,
Skau Michael,Clown in a Grave : Complexities and Tensions in the Works of Gregory Corso,10,,
Skau Michael,Constantly Eisking Absurdity : The Writings of Lawrence Ferlinghetti,7,,
Skerl Jennie ed.,William S. Burroughs at the Front : Critical Reception 1959-1989,10,,
Smith Alson J.,Chicagos Left Bank,8,,
Smith Christopher R.,Eastern Philosophy And Jack Kerouacs Postmodern Poetry,3,,
Smith Joan Jobe and Marilyn Johnson eds.,Bukowski Review,8,,
Smith Larry,Lawrence Ferlinghetti: Poet-At-Large,8,,
Snyder Gary,Axe Handles,6,,
Snyder Gary,The Back Country,6,,
Snyder Gary,Back On The Fire : Essays,1,,
Snyder Gary,Danger on Peaks: Poems,2,,
Snyder Gary,Distant Neighbors: The Selected Letters Of Wendell Berry And Gary Snyder,8,,
Snyder Gary,Earth House Hold,9,,
Snyder Gary,Etiquette Of Freedom: Gary Snyder Jim Harrison and The Practice Of The Wild,7,,
Snyder Gary,Gary Snyder Reader: Prose Poetry and Translations 1952-1998,3,,
Snyder Gary,Great Clod: Notes And Memoirs On Nature And History In East Asia,5,,
Snyder Gary,He who hunted birds in his fatherâ€™s village : the dimensions of a Haida myth,2,,
Snyder Gary,Left Out in the Rain: New Poems 1947-1985,9,,
Snyder Gary,Look Out: A Selection of Writings,1,,
Snyder Gary,Mountains and Rivers Without End,8,,
Snyder Gary,Myths & Texts,4,,
Snyder Gary,No Nature: New and Selected Poems,1,,
Snyder Gary,Nobody Home: Writing Buddhism And Living In Places,5,,
Snyder Gary,North Pacific Lands & Waters: A Further Six Sections,9,,
Snyder Gary,Old Ways (The),4,,
Snyder Gary,On Bread & Poetry: A Panel Discussion With Gary Snyder Lew Welch & Philip Whalen,8,,
Snyder Gary,Passage Through India,9,,
Snyder Gary,Place in Space: Ethics Aesthetics and Watersheds: New and Selected Prose,1,,
Snyder Gary,Practice of the Wild: Essays by Gary Snyder,9,,
Snyder Gary,Real Work: Interviews & Talks 1964-1979,4,,
Snyder Gary,Regarding Wave,9,,
Snyder Gary,Riprap & Cold Mountain Poems,10,,
Snyder Gary,Songs for Gaia,2,,
Snyder Gary,This Present Moment: New Poems,1,,
Snyder Gary,Turtle Island,6,,
Snyder Gary,Turtle Island,7,,
Snyder Robert,This Is Henry Henry Miller From Brooklyn: Conversations With The Author From The Henry Miller Odyssey,10,,
Sobieszek Robert A.,Ports of Entry: William S. Burroughs and the Arts,1,,
Solomon Carl,Emergency Messages : An Autobiographical Miscellany,3,,
Solomon Carl,More Mishaps,10,,
Sorel Edward,Mural at the Waverly Inn : a Poertrai of Greenwich Village Bohemia,2,,
Sounes Howard,Bukowski in Pictures,1,,
Sounes Howard,Charles Bukowski: Locked in the Arms of a Crazy Life: the Biography,3,,
Spangler Jason Scott,From The Great Depression To The Grateful Dead: Cultural History And The Beat Generation,3,,
Spedaliere Joseph A.,Visions Of Duluoz: A Study Of The Use Of Personae As A Means Of Self-Comprehension In The Four Lowell Novels Of Jack Kerouacs Duluoz Legend,1,,
Spencer Sharon,Collage of Dreams: Writings of Anais Nin,5,,
Stableford ed.,Dedalus Book of Decadence (Moral Ruins),9,,
Standish Craig Peter editor,Henry Miller: A Book Of Tributes 1931-1994,10,,
Stansell Christine,American Moderns: Bohemian New York and the Creation of a New Century,2,,
Stephens Robert Neilson,Tales From Bohemia,6,,
Stephenson Gregory,Daybreak Boys: Essays on the Literature of the Beat Generation,3,,
Sterritt David,Mad To Be Saved : The Beats The 50s and Films,3,,
Sterritt David,Screening The Beats: Media Culture And The Beat Sensibility,3,,
Steuding Bob,Gary Snyder,5,,
Stevens Michael,Road to Interzone : Reading William S. Burroughs Reading,7,,
Stevenson Elizabeth,American 1920s: Babbitts & Bohemians,9,,
Stiles Bradley J.,Emersons Contemporaries And Kerouacs Crowd: A Problem Of Self Location,2,,
Stokes Geoffrey ed.,Village Voice Anthology (1956-1980),2,,
Stonehill Judith,Greenwich Village: A Guide to Americas Legendary Left Bank,8,,
Stonehill Judith editor,Greenwich Village Stories: A Collection Of Memories,4,,
Stover Laren,Bohemian Manifesto: A Field Guide to Living on the Edge,2,,
Strausbaugh John,Village: 400 Years Of Beats And Bohemians Radicals And Rogues A History Of Greenwich Village    ,9,,
Suiter John,Poets on the Peaks: Gary Snyder Philip Whalen & Jack Kerouac in the North Cascades,10,,
Sukenick Ronald,Down and In: Life in the Underground,9,,
Sutherland Daniel E.,Whistler: A Life For Arts Sake,5,,
Swartz Omar,View from On the Road : the Rhetorical Vision of Jack Kerouac,9,,
Swingrover E.A. editor,Counterculture Reader,8,,
Talbot Ashleigh,Beat Speak: An Illustrated Beat Glossary Circa 1956-1959,2,,
Thackeray William Makepeace,Students Quarter or Paris Five and Thirty Years Since,8,,
Theado Matt ed.,The beats: a documentary volume,2,,
Theado Matt ed.,Understanding Jack Kerouac,4,,
Thimme David Gerhardt,Gary Snyders Idiosyncratic Buddhist Poetics And The Razoredge,1,,
Thompson Hunter S.,Gonzo Tapes: Life And Work Of Dr. Hunter S. Thompson,10,,
Thompson Hunter S.,Great Shark Hunt: Strange Tales From A Strange Time,2,,
Tietchen Todd F.,Cubalogues : Beat Writers In Revolutionary Havana,6,,
Tonkinson Carole ed.,Big Sky Mind: Buddhism and The Beat Generation,8,,
Torgoff Martin,Bop Apocalypse: Jazz Race The Beats & Drugs,9,,
Torgoff Martin,Cant Find My Way Home: America In The Great Stoned Age 1945-2000,3,,
Trigilio Tony,Allen Ginsbergs Buddhist Poetics,2,,
Trigilio Tony,Poetics Of Prophecy: Continuities Of Visionary History In Blake H.D. and Ginsberg,7,,
Tritica John Michael,Kenneth Rexroth And The Poetics Of Commitment And Mysticism,6,,
Trollope Fanny,Paris and the Parisians,5,,
Turner Frederick editor,Into the Heart of Life: Henry Miller at One Hundred,1,,
Turner Frederick,Renegade: Henry Miller And The Making Of Tropic Of Cancer,2,,
Turner Steve,Jack Kerouac: Angelheaded Hipster,10,,
Tytell John editor,Beat Interviews: Conversations With Allen Ginsberg William S. Burroughs John Clellon Holmes Herbert Huncke and Carl Solomon,10,,
Tytell John,Naked Angels,9,,
Tytell John,Paradise Outlaws: Remembering the Beats,10,,
Valle-Inclan Ramon del,Lights Of Bohemia (Luces de Bohemia),6,,
Notes Paper, Translated with introduction and commentary by John Lyon,NULL,9,
Vega Janine Pommy,Green Piano: Poems,1,,
Vega Janine Pommy,Mad Dog Of Trieste: New & Selected Poems,3,,
Verlaine Paul,Verlaine: Poems,5,,
Vidor King,La Bohème,8,,
Vives Amadeo,Bohemios: Zarzuela Completa,4,,
Wakefield Dan,New York in the 50s,8,,
Waldman Anne ed.,Beat Book,6,,
Waldman Anne ed. et. al.,Beats at Naropa,10,,
Waldman Anne ed. et. al.,Disembodied Poetics: Annals of the Jack Kerouac School,8,,
Waldman Anne,Fast Speaking Woman,4,,
